Company Name,Company Revenue in millions, Empoyee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone
Rosen Hotels & Resorts,400,3000,Hospitality,"Three Convention Hotels, 18-hole Championship Golf Course, Six Leisure Properties, Over 30 Food and Beverage Outlets, Special Events and Conventions, Hospitality, Travel & Tourism, Business Travel, Spa, Leisure Travel",Privately Held,United States,Orlando,EST
"MHA - Springfield, MA",50,500,Non-profit Organizations,"Mental Health, Nonprofit, Developmental Disabilities , Intellectual Disabilities , Brain Injuries, Counseling, Addiction, Rehabilitation, Homelessness, Homeless, Disabilities, Acquired Brain Injuries, Addiction Recovery, Residential Support, Emotional Health, Health and Wellness, Healthcare",Nonprofit,United States,Springfield,EST
Sophos Solutions,1000,3000,IT Services and IT Consulting,"Core Banking, Banking Transformation, Cloud Services, Data Intelligence & AI, Expert IT Talent",Privately Held,United States,Iselin,EST
Woods Equipment,200,800,Machinery Manufacturing,,Privately Held,United States,Oregon,EST
Tennessean,50,200,Newspaper Publishing,"Digital Media, Journalism, Community Service, Impact Journalism, Publishing, Marketing, Advertising, News, Politics, Sports, Music, Country Music, Business, Religion, Education, Community News, Video",Public Company,United States,Nashville,EST
Pöppelmann Plastics USA,300,1000,Plastics Manufacturing,"plastics, injection molding, thermoforming, in-mold-labeling, printing, plant pots, caps, plugs, packages, protective elements, horticulture, emobility, 3d-printing, functional parts, automotive",Public Company,United States,Claremont,EST
Gallo Sales Company,500,1500,Beverage Manufacturing,"Wine, Spirits, Sales Marketing, Customer Development, Sales, Business to Business Relationship Building",Privately Held,United States,Hayward,EST
Corelle Brands,2000,4000,Manufacturing,"Consumer Goods, Iconic Brands, Manufacturing, Consumer Products, Innovation, Housewares, Durable Goods",Privately Held,United States,Downers Grove,EST
"Personnel Staffing, Inc.",50,200,Staffing and Recruiting,"Light Industrial, Clerical, Direct Hire, On-Site Workforce Staffing Solutions",Sole Proprietorship,United States,Gadsden,EST
CareersUSA,100,400,Staffing and Recruiting,"Accounting, Administrative, Business / Sales, Call Center / Customer Service, Hospital / Medical, Hotels, Information Technology, Legal, Light Industrial, Office / Clerical, Conventions, And many more...",Privately Held,United States,Boca Raton,EST
Datalink,150,300,IT Services and IT Consulting,"Cloud and Data Center Transformation, Data Center Migration, Data Center Consolidation, IT Architecture, Workload and Platform Alignment, Assessments, Consulting Services, Managed Services, Support Services, Professional Services",Public Company,United States,Eden Prairie,EST
Manatron,80,200,Software Development,"Government land and property administration software development, CAMA (computer aided mass appraisal) software, property tax assessment, records management, tax collection software, land registry, Geographic Information Systems (GIS)",Privately Held,United States,Portage,EST
Al Salama Hospital,300,1000,Hospitals and Health Care,,Privately Held,Saudi Arabia,An Nahdah District,AST
TRYP by Wyndham,500,2000,Hospitality,,Public Company,United States,Parsippany,EST
Systems Plus Solutions,100,250,IT Services and IT Consulting,"Sourcing Advisory, Governance Risk and Compliance, Microsoft Technologies(C #, VB.NET, ASP.NET, WPF, Silverlight, VB, Business Object ), Manage Captive Services, Open Source Technologies, Portal, Mobility, Java, Robotic Process Automation, Retail Solutions, Managed GIC, Cloud solutions, DevOps, IT Consulting Services, Distributed Agile",Privately Held,United States,Dallas,EST
"Blumont, Inc.",200,1000,Non-profit Organizations,"Community Cohesion and Protection, Climate-smart Agriculture and Food Security, Stabilization and Governance, Humanitarian Assistance, Livelihoods & Economic Development, WASH, Infrastructure & Essential Services",Nonprofit,United States,Arlington,EST
Aecon-Wachs,1000,5000,Construction,"Welding Services, Field Machining, Field Welding, Maintenance projects, Construction, EPC projects, Installation, Decommissioning, Project Management, Quality Assurance, Custom Metal Fabrication, Orbital & Manual Welding, Electrical, Project Controls, Precision Machining & Equipment Design, Pipe Bending & Water Jetting, I&C Installations, Staff Augmentation, CAD Modeling, Rapid Craft Deployment, Design Engineering",Public Company,United States,Jackson,EST
PSNC ENERGY,2000,3000,Utilities,,Public Company,United States,Gastonia,EST
Unified Western Grocers,800,2500,Wholesale,,Privately Held,United States,Commerce,EST
Jazz Semiconductor,300,1000,Semiconductor Manufacturing,"Power Management, SiGe, RF CMOS, NVM",Public Company,United States,Newport Beach,EST
SEZ acquired by Lam Research Corporation,150,500,Semiconductor Manufacturing,"Semiconductor Manufacturing Equipment, Global Service",Public Company,United States,Fremont,EST
Dr. Bach Hospital,200,800,Hospitals and Health Care,"Internal Medicine Dept. قسم الباطني, Gastroenterology & Tropical Medicine Dept. قسم أمراض الجهاز الهضمي والمناظير,  Cardiovascular Dept.    قسم أمراض القلب والقسطرة  , قسم علاج طبيعي و عظام و أمراض الروماتزم Rheumatology , Rehabilitation & Physiotherapy Dept., قسم الأسنان Dental Dept., قسم طب الأطفال Pediatric Dept., قسم السكري والغدد الصماء Internal Medicine/ Endocrinology Dept., قسم الصدرية والحساسية الصدرية والمناظير الصدرية  Pulmonology & Respiratory Unit , قسم أمراض الدم Hematology & Oncology Dept., قسم أمراض الحساسية والمناعة Allergy & Immunology Dept.,  قسم أنف و أذن و حنجرة Otolaryngology & Head and Neck Surgery  Dept.,    قسم طب العيون Ophthalmology  Dept., جراحة العظام و الإصابات Orthopedics Surgeon Dept., قسم  طب قلب أطفال Paediatrics Cardiology Dept., قسم  أمراض النساء والتوليد Obstetrics and Gynaecology Dept., قسم  جراحة المخ و الأعصاب والعمود الفقري  Neurosurgery Dept., قسم    طب الأمراض الجلدية Dermatology , Venereology's & Andrology Dept., قسم   طب وجراحة المسالك البولية Urology Dept., قسم  جراحة الأوعية الدموية و الشرايين Vascular Surgeon Dept., قسم الأورام Oncology Dept., قسم  جراحة الأطفال وجراحة المناظير والسمنة Paediatrics & Laparoscopic Surgery Dept., قسم الجراحة عامة General Surgery Dept., قسم  التغذية وجراحات السمنة وجراحة المناظير Department of Nutrition, Bariatric and Laparoscopic Surgery",Sole Proprietorship,Saudi Arabia,Jeddah,AST
American NTN Bearing Manufacturing Corp.,500,1500,Motor Vehicle Manufacturing,,Privately Held,United States,Elgin,EST
Advanced Petrochemical Company,1000,2000,Chemical Manufacturing,Manufacturing of Polypropylen,Public Company,Saudi Arabia,Jubail Industrial City,AST
"SelectBuild Nevada, Inc.",200,1000,Construction,"Construction, Lumber, Building Materials, Millwork",Privately Held,United States,Las Vegas,PST
GKN Fokker,2000,8000,Aviation and Aerospace Component Manufacturing,,Privately Held,United States,Irving,EST
Wise Metals Group,300,1200,Mining,,Privately Held,United States,Muscle Shoals,EST
Sonata Software North America Inc.,250,800,IT Services and IT Consulting,,Public Company,United States,Fremont,EST
"Gomez, Inc.",150,400,"Technology, Information and Internet","Web Application Performance Management, Web Performance Monitoring, Web Load Testing, Cross-Browser Testing, Quality of Experience.  Customer Experience Management. SaaS.",Privately Held,United States,Waltham,EST
STADA Emerging Markets,1000,3000,Pharmaceutical Manufacturing,,Public Company,United Arab Emirates,Dubai Healthcare City,GST
USA TODAY NETWORK TENNESSEE,100,1000,Advertising Services,"Marketing, Advertising Solutions, News and Information, Digital Marketing, Advertising specialist, Growing local business, Marketing solutions",Public Company,United States,Nashville,EST
Newgistics,400,1200,"Technology, Information and Internet","End-to-End E-Commerce, Omni-Channel Commerce Platform, Order Management Software, Web Design, Implementation, Integration, Hosting, Support Services, Order Fulfillment, Parcel Delivery, Returns Management, International",Public Company,United States,Austin,EST
Coca-Cola Beverages Northeast,5000,6000,Food and Beverage Services,,Privately Held,United States,Bedford,EST
UNC Health Wayne,400,1200,Hospitals and Health Care,,Nonprofit,United States,Goldsboro,EST
DRS Tactical Systems,200,500,Defense and Space Manufacturing,,Public Company,United States,Melbourne,EST
Evident Industrial,150,400,"Appliances, Electrical, and Electronics Manufacturing",,Public Company,United States,Waltham,EST
Blackhawk Transport and Logistics,300,800,Truck Transportation,"Dedicated Fleet and Private Fleet Replacement, Specialized Freight Services, Warehousing, Over Dimensional and Heavy Freight Handling",Privately Held,United States,Beloit,EST
Nova Southeastern University Alumni Association,702,,Higher Education,,Educational Institution,United States,Fort Lauderdale,EST
Trinchero Family Estates,1000,2500,Wine & Spirits,"Winemaking, Enviromental Sustainability, Wine Education, Family Values, High Quality Wine",Privately Held,United States,St. Helena,EST
SPX Technologies,2000,4000,Industrial Machinery Manufacturing,,Public Company,United States,Charlotte,EST
Arla Foods KSA,1500,5000,Food and Beverage Manufacturing,,Public Company,Saudi Arabia,Riyadh,AST
Ophir Optics an MKS Brand,100,300,"Appliances, Electrical, and Electronics Manufacturing","co2 laser optics, Fiber Laser Optics, Co2 laser lenses, Beam Delivery Mirrors, CO2 Laser Cavity Optics, 1 Micron Optics, Thermal Imaging, IR Lens, Defence, Security, Aviation, Laser machine industry, designer, Manufacturer, IR Optics, LWIR, MWIR, UAV, high power laser optics, Laser optics, optical assemblies, infrared",Public Company,United States,Wilmington,EST
Seaboard Triumph Foods,500,2000,Food and Beverage Manufacturing,"Pork Production, Quality Assurance, Pork Processing, Food Safety",Partnership,United States,Sioux City,EST
Samsons Group of Companies,200,1000,Manufacturing,"Tobacco, Cigarettes, Tobacco Leaf, Leaf Exporter, Malam Jabba, Ski Resort, PC Malam Jabba, Tourism, FMCG",Privately Held,Pakistan,Lahore,PKT
Martek Biosciences,300,800,Biotechnology Research,"fermentation, DHA, omega-3",Public Company,United States,Columbia,EST
Saudi Aramco Base Oil Company-Luberef,5000,10000,Oil & Energy,,Partnership,Saudi Arabia,Jeddah,AST
Fourth,50,150,Information Technology & Services,"Hospitality Payroll, Hospitality Data & Analytics, Workforce Planning, Employee Engagement, Inventory Management, Hospitality HR, eProcurement, Accounts Payable, Recipe & Menu Engineering",Privately Held,United States,Austin,EST
InEight,100,400,Software Development,"Construction Cost Estimating, Quote Management, Bid Closeout & Tendering, Budgeting & Forecasting, Capital Project & Portfolio Planning, Risk & Confidence Management, Contract Life Cycle Management, Document Control, RFIs and Submittals, Project Correspondence, VDC Model Aggregation, BIM Design Coordination & Clash Detection, Model-based Takeoff, Advanced Work Packaging, Field Quantity Capture, Time Collection, Daily Logs, Environment, Health & Safety, QA/QC, Startup, Commissioning & Completions, Construction",Privately Held,United States,Scottsdale,EST
Power International Holding,1000,3000,Construction,"General Contracting, Real Estate Development, Food Industries, Lifestyle, Services",Privately Held,Qatar,Lusail,AST
Rove Hotels,200,800,Hospitality,"Hotels, Food & Beverage, Meetings & Events",Public Company,United Arab Emirates,Dubai,GST
Al Rostamani Group,1000,4000,Executive Offices,"Automotive, Civil Contracting, Financial Services, Travel & Tourism, IT System Integration, Electrical Contracting, Real Estate & Property Development, Automotive Aftermarket, Engineering",Privately Held,United Arab Emirates,Dubai,GST
Republic Media,300,1000,Advertising Services,,Public Company,United States,Phoenix,EST
WearGuard,100,500,Retail Apparel and Fashion,,Public Company,United States,Norwell,EST
Bluum,30,150,Information Technology & Services,"Mobile Learning (1 to 1), Flat Panels, LCD-DLP- LED Projectors, Digital Signage, Document Cameras/Presenters, Control & Switching, Interactive Teaching Tools, CCTV/Security, Classroom Response Systems, AV Furniture, Classroom Amplification, Design & Installation, 1-1 Solutions, School Safety, School Asset Management, Collaborative Learning Spaces, STEM/STEAM",Privately Held,United States,Phoenix,EST
"Consolidated Aerospace Manufacturing, a Stanley Black and Decker Company",400,1000,Aviation and Aerospace Component Manufacturing,,Public Company,United States,Brea,EST
Hannibal Regional,50,300,Hospitals and Health Care,"Audiology, Cardiology, Endocrinology, Family Practice, Geriatric Medicine, Internal Medicine, Neurology, OB/GYN, Occupational Medicine, Otolaryngology, Pain Management, Pediatrics, Plastic Surgery, Podiatry, Pulmonology, Urology, Oncology, Rheumatology, Surgery",Nonprofit,United States,Hannibal,EST
Titan America,1500,3000,Building Materials,"cement, concrete, aggregate, block",Privately Held,United States,Norfolk,EST
"LiveArea, a Merkle Company",200,600,IT Services and IT Consulting,"Brand Development, Digital Commerce Strategy, Digital Analytics & Optimization, Visual Design, User Experience Design, Copywriting, Interactive Development, Content Creation, Display & Social Media Marketing, SEO & Paid Search, Email Marketing, Affiliate Marketing, Systems Integration, Omni-Channel Strategy, Commerce Platform Implementation, Platform Evaluation & Selection, Conversion Optimization, Storefront Management, Project Rescue, Managed Services, Business User Training & Enablement, NXT Intelligence, Service Design, Product Innovation, Connected Commerce, Performance Marketing, Orchestrated Services",Public Company,United States,Dallas,EST
Sun Communities & Sun Outdoors,2000,5000,Real Estate,,Public Company,United States,Southfield,EST
Gorilla Group,150,400,"Technology, Information and Internet","Ecommerce & Digital Strategy, Front-end & Back-end Website Development, Content Strategy, Digital Marketing, Experience Driven Commerce, Managed Services, Change Management, User Experience, Experience Design, Omnichannel Commerce",Public Company,United States,Chicago,EST
"Hillyard, Inc.",300,1000,Chemicals,,Privately Held,United States,St. Joseph,EST
"Pelican Products, Inc.",1000,3000,Packaging and Containers Manufacturing,"Injection Molded Protective Cases, Advanced Lighting Systems, Rotationally Molded Protective Cases, Technically Advanced Flashlights, Portable Lighting, Protective Cases, Remote Area Lighting, Area Lighting, Consumer Products, Coolers",Privately Held,United States,Torrance,EST
International Relief and Development (IRD),100,500,Civil Engineering,,Nonprofit,United States,Arlington,EST
"Family Practice Center, P.C.",10,50,Hospitals and Health Care,"Family Medicine, Internal Medicine, Pediatrics, Sleep Medicine, Diabetic Education, Weight Management",Privately Held,United States,Selinsgrove,EST
BTG plc,500,1000,Medical Equipment Manufacturing,"International Specialist Healthcare Company, Interventional Oncology, Interventional Radiology, Interventional Pulmonology, Medical Device, Interventional Medicine, Pharmaceuticals, Digital Innovation, Vascular, Global Healthcare, minimally invasive procedures, innovative medical technology",Public Company,United States,Marlborough,EST
Redbox Entertainment Inc.,700,1500,Entertainment Providers,"Entertainment, Self-service kiosks, Retail, Automated retail, Movies, On Demand, Streaming",Privately Held,United States,Oakbrook Terrace,EST
"CENTRA Technology, Inc",50,200,Defense and Space Manufacturing,"Analytic Services & Tools, Executive Support & Advisory Services, Consulting, Foreign Language Research & Analysis, Cyber/IT, Games & Exercises, Engineering, Military Support, Event & Meeting Facilitation, Risk Management Solutions",Public Company,United States,Burlington,EST
Xerxes,200,600,IT Services and IT Consulting,"manufacturing, underground storage tanks, composites, fiberglass, fiberglass tanks, fiberglass underground storage tanks, UST, USTs, water tanks, fuel tanks, flare knockout tanks, sump tanks, rainwater tanks, rainwater harvesting, stormwater, stormwater tanks",Public Company,United States,Minneapolis,EST
Ivoclar NA,300,1000,Medical Equipment Manufacturing,,Privately Held,United States,Amherst,EST
